,Mass,Radius,Luminosity,Pressure,Temperature,Density,epsilon,nabla,"radiative=1, convetice=0"
108,4.296397474685533e+31,4986215043.788303,1.1954694805262713e+33,1.647577191463114e+17,15245803.779145844,79.95818925860874,23.49878686622323,0.4,1.0
109,4.336178932563539e+31,5002091683.725317,1.2048072742443874e+33,1.6461103145389162e+17,15240377.434478957,79.9154796614556,23.441481138367678,0.4,1.0
110,4.375960390441545e+31,5017873653.501364,1.2141220461065989e+33,1.644648874833546e+17,15234967.53999837,79.87291728895741,23.384526663291368,0.39981488155524525,0.0
111,4.41574184831955e+31,5033562416.85856,1.2234139278577188e+33,1.643192817770075e+17,15229573.90851189,79.83050076770236,23.327919115011237,0.39962730609026736,0.0
112,4.455523306197556e+31,5049159416.319109,1.2326830507178253e+33,1.6417420888303126e+17,15224196.35743656,79.78822869790761,23.271654244459988,0.3994408946188311,0.0
113,4.495304764075562e+31,5064666073.185298,1.2419295453822614e+33,1.6402966335548045e+17,15218834.708798656,79.74609965346966,23.215727878240138,0.39925563438541645,0.0
114,4.535086221953568e+31,5080083787.539501,1.2511535420216357e+33,1.638856397542833e+17,15213488.789233679,79.70411218201444,23.160135917405142,0.3990715127277302,0.0
115,4.574867679831573e+31,5095413938.244176,1.2603551702818212e+33,1.6374213264524173e+17,15208158.429986365,79.66226480494646,23.104874336265443,0.3988885170394563,0.0
116,4.614649137709579e+31,5110657882.941867,1.2695345592839579e+33,1.6359913660003136e+17,15202843.46691068,79.62055601749792,23.04993918121965,0.39870663473494433,0.0
117,4.654430595587585e+31,5125816958.055204,1.2786918376244492e+33,1.6345664619620147e+17,15197543.740469826,79.57898428877697,22.995326569610704,0.39852585321570533,0.0
118,4.694212053465591e+31,5140892478.786901,1.2878271333749647e+33,1.63314656017175e+17,15192259.09573623,79.53754806181601,22.941032688604643,0.3983461598386257,0.0
119,4.733993511343596e+31,5155885739.11976,1.2969405740824388e+33,1.631731606522486e+17,15186989.382391552,79.49624575361908,22.887053794093692,0.3981675418857813,0.0
120,4.7737749692216015e+31,5170798011.816664,1.3060322867690716e+33,1.6303215469659258e+17,15181734.454726683,79.45507575520894,22.83338620962092,0.397989986535763,0.0
121,4.813556427099607e+31,5185630548.420584,1.315102397932328e+33,1.6289163275125094e+17,15176494.171641748,79.41403643167376,22.780026325327924,0.3978134808364332,0.0
122,4.853337884977613e+31,5200384579.254578,1.3241510335449377e+33,1.627515894231413e+17,15171268.396646103,79.3731261222134,22.726970596922875,0.39763801167901724,0.0
123,4.893119342855618e+31,5215061313.421785,1.3331783190548963e+33,1.6261201932505507e+17,15166056.997858332,79.3323431401852,22.674215544670535,0.3974635657734671,0.0
124,4.932900800733624e+31,5229661938.805435,1.3421843793854653e+33,1.624729170756572e+17,15160859.848006252,79.29168577314921,22.62175775240199,0.39729012962500965,0.0
125,4.97268225861163e+31,5244187622.068839,1.3511693389351696e+33,1.6233427729948643e+17,15155676.824426912,79.25115228291332,22.569593866544754,0.3971176895118316,0.0
126,5.012463716489636e+31,5258639508.655394,1.3601333215778008e+33,1.6219609462695514e+17,15150507.809066592,79.21074090557768,22.51772059517209,0.3969462314638168,0.0
127,5.052245174367641e+31,5273018722.788584,1.3690764506624152e+33,1.6205836369434934e+17,15145352.688480802,79.17044985157887,22.466134707071262,0.39677574124229537,0.0
128,5.092026632245647e+31,5287326367.471977,1.3779988490133342e+33,1.6192107914382877e+17,15140211.353834284,79.13027730573371,22.414833030830774,0.39660620432073607,0.0
129,5.131808090123653e+31,5301563524.489226,1.3869006389301448e+33,1.6178423562342688e+17,15135083.700901015,79.09022142728261,22.363812453945037,0.39643760586634025,0.0
130,5.171589548001658e+31,5315731254.404073,1.3957819421876984e+33,1.616478277870507e+17,15129969.630064195,79.05028034993258,22.31306992193709,0.3962699307224803,0.0
131,5.211371005879664e+31,5329830596.560339,1.404642880036113e+33,1.61511850294481e+17,15124869.046316264,79.01045218189985,22.26260243749864,0.3961031633919409,0.0
132,5.25115246375767e+31,5343862569.081937,1.4134835732007704e+33,1.613762978113722e+17,15119781.859258886,78.97073500595236,22.21240705964658,0.39593728802092426,0.0
133,5.290933921635676e+31,5357828168.87286,1.4223041418823183e+33,1.6124116500925245e+17,15114707.983102964,78.9311268794515,22.162480902896224,0.3957722883837674,0.0
134,5.330715379513681e+31,5371728371.617189,1.4311047057566698e+33,1.6110644656552352e+17,15109647.336668624,78.89162583439402,22.11282113645035,0.3956081478683516,0.0
135,5.370496837391687e+31,5385564131.779092,1.4398853839750034e+33,1.6097213716346086e+17,15104599.843385229,78.8522298774533,22.063424983404406,0.3954448494621486,0.0
136,5.410278295269693e+31,5399336382.6028185,1.4486462951637615e+33,1.6083823149221366e+17,15099565.431291372,78.81293699002045,22.014289719966182,0.3952823757388864,0.0
137,5.450059753147699e+31,5413046036.112706,1.4573875574246532e+33,1.607047242468047e+17,15094544.033034876,78.7737451282451,21.96541267469139,0.3951207088457965,0.0
138,5.489841211025704e+31,5426693983.113176,1.466109288334652e+33,1.6057161012813053e+17,15089535.585872797,78.73465222307613,21.916791227733142,0.39495983049141026,0.0
139,5.52962266890371e+31,5440281093.188738,1.474811604945997e+33,1.6043888384296125e+17,15084540.031671422,78.6956561803018,21.86842281010609,0.39479972193388635,0.0
140,5.5694041267817155e+31,5453808214.703981,1.4834946237861925e+33,1.6030654010394074e+17,15079557.316906266,78.65675488059003,21.820304902964487,0.3946403639698326,0.0
141,5.609185584659721e+31,5467276174.803589,1.4921584608580074e+33,1.6017457362958653e+17,15074587.39266208,78.61794617952812,21.772435036893455,0.39448173692360416,0.0
142,5.6489670425377265e+31,5480685779.41232,1.5008032316394766e+33,1.6004297914428986e+17,15069630.214632845,78.57922790766276,21.72481079121447,0.39432382063705634,0.0
143,5.688748500415732e+31,5494037813.235026,1.5094290510839006e+33,1.5991175137831555e+17,15064685.743121771,78.54059787053929,21.677429793303027,0.39416659445972424,0.0
144,5.728529958293738e+31,5507333039.756641,1.5180360336198434e+33,1.5978088506780224e+17,15059753.943041302,78.50205384874134,21.630289717919435,0.39401003723941497,0.0
145,5.768311416171744e+31,5520572201.242185,1.526624293151136e+33,1.5965037495476208e+17,15054834.783913111,78.46359359793004,21.583388286552168,0.3938541273131918,0.0
146,5.808092874049749e+31,5533756018.736762,1.5351939430568735e+33,1.5952021578708102e+17,15049928.239868106,78.42521484888316,21.53672326677333,0.3936988424987282,0.0
147,5.847874331927755e+31,5546885192.065563,1.543745096191417e+33,1.593904023185187e+17,15045034.28964642,78.38691530753434,21.490292471605578,0.3935441600860243,0.0
148,5.887655789805761e+31,5559960399.833865,1.5522778648843926e+33,1.5926092930870832e+17,15040152.916597424,78.34869265501207,21.444093758901953,0.39339005682945694,0.0
149,5.927437247683767e+31,5572982299.427028,1.5607923609406905e+33,1.5913179152315683e+17,15035284.108679717,78.31054454767862,21.398125030735507,0.39323650894016204,0.0
150,5.967218705561772e+31,5585951527.010498,1.5692886956404678e+33,1.590029837332449e+17,15030427.858461129,78.27246861716918,21.352384232801374,0.3930834920787274,0.0
151,6.007000163439778e+31,5598868697.52981,1.577766979739146e+33,1.5887450071622678e+17,15025584.16311872,78.23446247043078,21.306869353829335,0.3929309813481832,0.0
152,6.046781621317784e+31,5611734404.710578,1.5862273234674125e+33,1.587463372552305e+17,15020753.024438787,78.19652368976138,21.26157842500703,0.3927789512872777,0.0
153,6.08656307919579e+31,5624549221.058506,1.5946698365312184e+33,1.5861848813925766e+17,15015934.44881685,78.15864983284885,21.21650951941356,0.39262737586403657,0.0
154,6.126344537073795e+31,5637313697.859383,1.6030946281117812e+33,1.5849094816318358e+17,15011128.44725767,78.12083843281023,21.171660751463904,0.39247622846957336,0.0
155,6.166125994951801e+31,5650028365.179081,1.611501806865584e+33,1.5836371212775734e+17,15006335.03537523,78.08308699823112,21.12703027636256,0.39232548191216954,0.0
156,6.205907452829807e+31,5662693731.86356,1.6198914809243736e+33,1.5823677483960157e+17,15001554.23339275,78.04539301320492,21.08261628956792,0.39217510841158715,0.0
157,6.245688910707813e+31,5675310285.538864,1.628263757895164e+33,1.5811013111121264e+17,14996786.06614268,78.00775393737244,21.038417026265392,0.3920250795936261,0.0
158,6.285470368585818e+31,5687878492.611122,1.636618744860232e+33,1.5798377576096058e+17,14992030.5630667,77.97016720596186,20.9944307608509,0.3918753664849034,0.0
159,6.325251826463824e+31,5700398798.266549,1.644956548377122e+33,1.5785770361308912e+17,14987287.758215722,77.93263022982856,20.95065580642283,0.3917259395078592,0.0
160,6.3650332843418295e+31,5712871626.471446,1.6532772744786422e+33,1.5773190949771565e+17,14982557.69024989,77.89514039549535,20.907090514283627,0.39157676847597095,0.0
161,6.4048147422198345e+31,5725297379.9721985,1.661581028672867e+33,1.5760638825083123e+17,14977840.402438577,77.85769506519323,20.863733273449824,0.39142782258917697,0.0
162,6.4445962000978405e+31,5737676440.295277,1.6698679159431345e+33,1.5748113471430064e+17,14973135.942660393,77.82029157690191,20.820582510171466,0.3912790704294993,0.0
163,6.484377657975846e+31,5750009167.747238,1.6781380407480494e+33,1.5735614373586227e+17,14968444.363403173,77.78292724439125,20.777636687459193,0.39113047995686323,0.0
164,6.524159115853852e+31,5762295901.414725,1.6863915070214815e+33,1.5723141016912822e+17,14963765.721763985,77.74559935726263,20.734894304620617,0.3909820185051057,0.0
165,6.563940573731857e+31,5774536959.164463,1.694628418172565e+33,1.571069288735843e+17,14959100.07944913,77.70830518099105,20.692353896804036,0.3908336527781659,0.0
166,6.603722031609863e+31,5786732637.643267,1.7028488770857e+33,1.569826947145899e+17,14954447.502774138,77.67104195696743,20.65001403455114,0.3906853488464617,0.0
167,6.643503489487869e+31,5798883212.278032,1.7110529861205515e+33,1.568587025633782e+17,14949808.062663773,77.63380690254151,20.607873323357026,0.39053707214343836,0.0
168,6.683284947365875e+31,5810988937.275743,1.7192408471120501e+33,1.56734947297056e+17,14945181.834652029,77.59659721106514,20.565930403237942,0.3903887874622894,0.0
169,6.72306640524388e+31,5823050045.623468,1.7274125613703908e+33,1.566114237986038e+17,14940568.89888213,77.55941005193633,20.524183948307297,0.3902404589528533,0.0
170,6.762847863121886e+31,5835066749.088363,1.7355682296810353e+33,1.5648812695687574e+17,14935969.340106532,77.52224257064351,20.482632666358263,0.3900920501186657,0.0
171,6.802629320999892e+31,5847039238.217665,1.7437079523047088e+33,1.5636505166659968e+17,14931383.247686923,77.48509188881087,20.441275298454528,0.3899435238141864,0.0
172,6.842410778877898e+31,5858968936.509009,1.7518317153752014e+33,1.5624221445669517e+17,14926809.135085862,77.4479740606148,20.40010489235205,0.38979514152017636,0.0
173,6.882192236755903e+31,5870857871.491478,1.7599394290222046e+33,1.5611964361487744e+17,14922244.745482197,77.41091498884295,20.35911196472596,0.38964731098264904,0.0
174,6.921973694633909e+31,5882706334.876463,1.7680311473941748e+33,1.5599733825507098e+17,14917690.010390589,77.37391471689118,20.318295132125673,0.38950002599910233,0.0
